RT_UNIQUE,RT_DESCR,CNTY_NAME,D_GOV_LEVEL,GOV_LEVEL,SPEEDLIM,MILES,D_DISTRICT
059-CS-2127  -000,EASTERN AVE,Kenton,City Maintained Roads,04,25.0,1.252,Covington
008-CR-1058  -000,ROGERS LN,Boone,County Maintained Roads,02,35.0,1.38,Covington
008-KY-0018  -000,BURLINGTON PIKE,Boone,State Maintained Roads,01,55.0,3.25,Covington
008-CS-1053  -000,ORLEANS BLVD,Boone,City Maintained Roads,04,25.0,0.838,Covington
008-KY-0237  -000,PLEASANT VALLEY RD,Boone,State Maintained Roads,01,45.0,1.111,Covington
059-KY-3070  -000,HOWARD LITZLER DR,Kenton,State Maintained Roads,01,55.0,0.34,Covington
019-KY-0009  -000,AA HWY,Campbell,State Maintained Roads,01,55.0,16.48,Covington
019-CS-7089  -000,DODSWORTH LN,Campbell,City Maintained Roads,04,20.0,0.624,Covington
059-KY-1072  -000,HIGHLAND PIKE,Kenton,State Maintained Roads,01,45.0,1.049,Covington
008-CS-1308  -000,CAYTON RD,Boone,City Maintained Roads,04,35.0,0.064,Covington
059-KY-0016  -000,DECOURSEY AVE+EAST 30TH ST+JAMES AVE,Kenton,State Maintained Roads,01,30.0,0.837,Covington
059-US-0025  -000,DIXIE HWY,Kenton,State Maintained Roads,01,35.0,3.879,Covington
008-KY-0020  -000,PETERSBURG RD,Boone,State Maintained Roads,01,55.0,1.125,Covington
059-CS-2206  -000,WEST 6TH ST,Kenton,City Maintained Roads,04,25.0,0.171,Covington
059-CS-2093  -000,RUSSELL ST,Kenton,City Maintained Roads,04,25.0,0.05,Covington
019-KY-0445  -000,GRANDVIEW AVE,Campbell,State Maintained Roads,01,30.0,0.238,Covington
008-CR-1311  -000,OLD GRAVES RD,Boone,County Maintained Roads,02,35.0,0.044,Covington
019-KY-2924  -000,TOLLGATE RD,Campbell,State Maintained Roads,01,55.0,1.872,Covington
059-CS-5076  -000,AUTUMN RD,Kenton,City Maintained Roads,04,20.0,0.815,Covington
019-KY-0010  -000,E MAIN ST,Campbell,State Maintained Roads,01,25.0,0.805,Covington
019-CS-1014  -000,E 4TH ST,Campbell,City Maintained Roads,04,25.0,0.174,Covington
059-CS-5550  -000,HORSEBRANCH RD,Kenton,City Maintained Roads,04,35.0,0.995,Covington
019-KY-1998  -000,POOLES CREEK RD+INDUSTRIAL RD,Campbell,State Maintained Roads,01,35.0,1.738,Covington
008-KY-0842  -000,WEAVER RD,Boone,State Maintained Roads,01,55.0,1.846,Covington
059-KY-1829  -000,RICHARDSON RD,Kenton,State Maintained Roads,01,35.0,0.626,Covington
019-KY-1120  -000,W 11TH ST,Campbell,State Maintained Roads,01,25.0,0.668,Covington
059-KY-0017  -000,MADISON PIKE,Kenton,State Maintained Roads,01,45.0,2.048,Covington
059-KY-1303  -000,BRISTOW RD+TURKEYFOOT RD,Kenton,State Maintained Roads,01,45.0,5.85,Covington
008-KY-0020  -000,PETERSBURG RD,Boone,State Maintained Roads,01,35.0,0.756,Covington
019-CS-2031  -000,TAYLOR AVE,Campbell,City Maintained Roads,04,25.0,0.978,Covington
008-KY-0338  -000,EAST BEND RD,Boone,State Maintained Roads,01,45.0,0.883,Covington
008-CR-1016J -000,CAYTON RD,Boone,County Maintained Roads,02,35.0,0.101,Covington
059-KY-0371  -000,ORPHANAGE RD,Kenton,State Maintained Roads,01,45.0,0.91,Covington
059-CS-9067  -000,HIGHLAND PIKE,Kenton,City Maintained Roads,04,25.0,0.376,Covington
059-CS-2402  -000,WEST 34TH ST,Kenton,City Maintained Roads,04,25.0,0.358,Covington
019-KY-0008  -000,MARY INGLES HWY,Campbell,State Maintained Roads,01,45.0,1.659,Covington
059-CS-8086  -000,WOLF RD,Kenton,City Maintained Roads,04,35.0,0.813,Covington
059-CS-4128  -000,DUDLEY RD,Kenton,City Maintained Roads,04,35.0,0.677,Covington
059-KY-3187  -000,KYLES LN,Kenton,State Maintained Roads,01,35.0,0.954,Covington
019-CS-1120  -000,W 5TH ST,Campbell,City Maintained Roads,04,30.0,0.261,Covington
059-CS-2002  -000,EAST 15TH ST,Kenton,City Maintained Roads,04,25.0,0.476,Covington
019-US-0027  -000,ALEXANDRIA PIKE,Campbell,State Maintained Roads,01,40.0,1.446,Covington
008-KY-3076  -000,MINEOLA PIKE,Boone,State Maintained Roads,01,35.0,0.412,Covington
019-I -0471  -000,I-471,Campbell,State Maintained Roads,01,55.0,0.315,Covington
059-KY-0536  -000,MOUNT ZION RD+BRISTOW RD,Kenton,State Maintained Roads,01,35.0,0.491,Covington
059-I -0275  -000,I-275,Kenton,State Maintained Roads,01,65.0,1.582,Covington
059-CS-3169  -000,NARROWS RD,Kenton,City Maintained Roads,04,35.0,1.215,Covington
